latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-18.86852,143.82755,344.1,0.52,0.41,2020-01-06,0418,1,nominal,1.0NRT,311,21.8,D
-19.17547,142.0181,354.3,0.42,0.38,2020-01-06,0418,1,nominal,1.0NRT,309.8,22.1,D
-18.86474,143.82681,347,0.52,0.41,2020-01-06,0418,1,nominal,1.0NRT,306.5,7.9,D
-18.86013,143.78609,339.7,0.51,0.41,2020-01-06,0418,1,nominal,1.0NRT,308.3,13.1,D
-18.85552,143.79013,350.2,0.51,0.41,2020-01-06,0418,1,nominal,1.0NRT,309.5,34.7,D
-18.85636,143.78532,345.1,0.51,0.41,2020-01-06,0418,1,nominal,1.0NRT,308.9,26.2,D
-18.85258,143.78459,346.9,0.51,0.41,2020-01-06,0418,1,nominal,1.0NRT,310.8,26.2,D
-18.48036,145.24704,367,0.42,0.45,2020-01-06,0418,1,high,1.0NRT,315,19.2,D
-18.48181,145.23921,344.3,0.42,0.45,2020-01-06,0418,1,nominal,1.0NRT,311,5.1,D
-18.48253,145.23531,346.2,0.42,0.45,2020-01-06,0418,1,nominal,1.0NRT,308.9,5.1,D
-18.47549,145.25017,349.5,0.42,0.45,2020-01-06,0418,1,nominal,1.0NRT,310.5,16.3,D
-18.47622,145.24625,346,0.42,0.45,2020-01-06,0418,1,nominal,1.0NRT,308.3,14.5,D
-18.4699,145.25714,343.2,0.42,0.45,2020-01-06,0418,1,nominal,1.0NRT,310.8,11.7,D
-18.47423,145.23372,348.1,0.42,0.45,2020-01-06,0418,1,nominal,1.0NRT,309.4,16.6,D
-18.47495,145.22981,339.1,0.42,0.45,2020-01-06,0418,1,low,1.0NRT,309.5,9.9,D
-18.47082,145.22896,356.4,0.42,0.45,2020-01-06,0418,1,nominal,1.0NRT,309,16.3,D
-18.44023,145.1859,344.4,0.42,0.45,2020-01-06,0418,1,nominal,1.0NRT,308.1,7.2,D
-18.3733,145.35396,354.7,0.43,0.46,2020-01-06,0418,1,nominal,1.0NRT,306.1,7.1,D
-18.36839,145.3571,342.4,0.43,0.46,2020-01-06,0418,1,nominal,1.0NRT,303.4,7.1,D
-18.36913,145.35306,339.2,0.43,0.46,2020-01-06,0418,1,nominal,1.0NRT,304.2,7.1,D
-18.3642,145.35629,342.8,0.43,0.46,2020-01-06,0418,1,nominal,1.0NRT,301.3,8.1,D
-18.36495,145.35222,343.9,0.43,0.46,2020-01-06,0418,1,nominal,1.0NRT,302.6,8.1,D
-18.31834,145.34634,341.3,0.43,0.46,2020-01-06,0418,1,nominal,1.0NRT,298.9,6.5,D
-18.31907,145.34248,347,0.43,0.46,2020-01-06,0418,1,nominal,1.0NRT,305.1,6.5,D
